epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,115.839,0.67388,0.53934,0.96012,0.96059,0.94069,0.97602,0.77744,0.75496,0.60514,0.9789,0.000412749,0.000412749,0.000412749
78,117.373,0.66132,0.52223,0.94939,0.96862,0.95075,0.97852,0.78487,0.74777,0.60222,0.97006,0.000396246,0.000396246,0.000396246
79,118.812,0.61692,0.50396,0.94253,0.95493,0.95686,0.98179,0.79785,0.71165,0.57977,0.95811,0.000379743,0.000379743,0.000379743
80,120.273,0.63259,0.4801,0.93593,0.95042,0.95827,0.98263,0.79748,0.66723,0.53455,0.93252,0.000363239,0.000363239,0.000363239
81,121.726,0.61492,0.51121,0.92914,0.96311,0.96203,0.98507,0.80677,0.65279,0.50055,0.92533,0.000346736,0.000346736,0.000346736
82,123.253,0.58774,0.49583,0.93601,0.97606,0.97331,0.98747,0.81628,0.64568,0.48528,0.92423,0.000330233,0.000330233,0.000330233
83,124.772,0.60864,0.46295,0.93451,0.97267,0.97331,0.98757,0.81427,0.69146,0.49904,0.94605,0.000313729,0.000313729,0.000313729
84,126.232,0.57043,0.45685,0.91902,0.96393,0.96663,0.9854,0.81027,0.67128,0.49845,0.93979,0.000297226,0.000297226,0.000297226
85,127.772,0.60165,0.47582,0.93034,0.96679,0.97331,0.98621,0.81663,0.64143,0.48545,0.92733,0.000280723,0.000280723,0.000280723
86,129.31,0.59811,0.47182,0.9244,0.97866,0.97851,0.98858,0.82585,0.63293,0.46272,0.91823,0.00026422,0.00026422,0.00026422
87,130.822,0.55382,0.42852,0.89821,0.9732,0.98083,0.98958,0.82458,0.64101,0.45892,0.91678,0.000247716,0.000247716,0.000247716
